vendor_id,name_en,chain_name_en,vertical_class,vertical,main_cuisine
751649,"AlBaik Alsoury, Faisal - El Ashreen",AlBaik Alsoury,food,food,Grills
609459,"Hadramout Restaurant, Heliopolis - Hegaz Square",Hadramout Restaurant,food,food,Grills
602382,Hadramout Restaurant - Faisal,Hadramout Restaurant,food,food,Grills
748963,"Hadramout Resturant, Ain Shams - El Zahraa w Masaken El Helmya",Hadramout Restaurant,food,food,Grills
609435,"Hadramout Restaurant, Heliopolis - El Khalifa El Maa'moun",Hadramout Restaurant,food,food,Grills
609384,"Hadramot - Mohandiseen, Mohandiseen",Hadramot - Mohandiseen,food,food,Grills
719424,"Hadramoot El Bokhary,Gadila & Toreel",Hadramoot El Bokhary,food,food,Grills
759008,"Hadra Mout El-khayal, Nasr City - Abbas El Akkad",Hadra Mout El-khayal,food,food,Grills
724770,"El Tekeya Restaurant,Downtown - El Sayeda Zeinab",El Tekeya Restaurant,food,food,Grills
752960,"Mashwyat al hussein,Mokattam",Mashwyat al hussein,food,food,Grills
714278,"Mashwayat EL Shafee,Maadi Old",Mashwayat EL Shafee,food,food,Grills
728998,"Kababgy Elharamen 2 2, Haram - El Arish",Kababgy Elharamen 2,food,food,Grills
